,real_price,pre_price
0,4.5,4.061167
1,10.4,11.425097
2,4.05,3.9263332
3,18.28,17.984472
4,8.2,5.266959
5,22.98,24.026552
6,7.58,7.8581667
7,5.89,6.7694025
8,5.0,6.5470552
9,10.5,9.462377
10,8.95,8.003803
11,33.88,31.36173
12,4.68,4.371414
13,6.0,7.586586
14,7.38,4.8435736
15,8.0,12.473648
16,1.9,2.4587588
17,11.68,13.291938
18,26.88,25.135748
19,20.38,20.372274
20,22.8,25.849895
21,6.18,6.345801
22,19.58,16.839695
23,17.5,17.618076
24,8.38,8.1750965
25,19.18,21.115646
26,16.5,17.247173
27,26.6,27.258575
28,17.1,17.941418
29,8.48,9.270566
30,5.5,6.004043
31,3.58,4.01931
32,20.28,20.926105
33,25.5,24.184448
34,29.8,27.31838
35,6.98,5.3039446
36,8.0,7.0460463
37,10.98,9.989629
38,4.6,3.814517
39,1.8,2.691674
40,4.9,4.5999002
41,13.58,12.866059
42,10.8,12.939769
43,25.6,27.043243
44,16.7099,13.342376
45,12.98,13.838097
46,6.9,8.021695
47,23.0,24.672777
48,18.2,21.981514
49,17.5,20.678455
50,17.5,15.792189
51,4.2,4.017082
52,8.98,9.303975
53,3.98,2.5447025
54,49.8,51.708233
55,34.4799,33.50803
56,13.8,16.46153
57,5.98,6.491144
58,3.98,4.8304396
59,12.8,12.209228
60,3.6,3.515712
61,10.8,11.543554
62,6.5,6.9114084
63,28.8,28.93835
64,6.3,6.768733
65,14.8,12.66498
66,5.8,4.8689394
67,6.98,7.0543604
68,6.7,7.0081496
69,5.18,6.219535
70,26.3,24.65819
71,7.88,8.98937
72,6.45,5.664028
73,22.0,17.121107
74,21.8,22.409967
75,9.28,11.960817
76,3.08,2.296768
77,108.9,120.25049
78,3.58,2.8356936
79,10.88,10.567936
80,9.4,8.584256
81,14.65,13.384803
82,42.8,38.123077
83,12.8,12.134714
84,7.28,7.242983
85,15.98,15.390365
86,3.3,4.880188
87,11.28,10.624539
88,4.6,5.431006
89,9.3,8.126837
90,10.98,9.240629
91,8.5,8.639392
92,5.6,5.734888
93,11.9799,11.677768
94,11.98,11.966585
95,7.99,6.9817457
96,4.8,4.777805
97,6.88,8.654629
98,10.2,8.721287
99,5.8,4.536822
100,28.6,28.760662
101,8.12,8.433146
102,11.28,11.739207
103,8.0,8.245299
104,6.38,7.4595413
105,4.4,4.40805
106,7.6,7.5259695
107,3.58,2.792014
108,4.9,5.5090637
109,9.0,8.097582
110,8.7,8.311984
111,27.8,26.501144
112,13.88,14.162672
113,1.5,0.5810601
114,6.88,6.676799
115,8.8,9.539431
116,14.3,14.259676
117,10.58,8.871107
118,12.98,14.570022
119,28.38,27.23398
120,2.8,3.1130943
121,39.5,38.171597
122,31.5,33.349167
123,11.8,9.776914
124,15.98,14.480586
125,15.5,14.761603
126,20.8,21.791218
127,6.8,7.138682
128,8.9,9.274107
129,6.98,4.5275416
130,3.8,5.0138655
131,18.38,22.056583
132,12.6,14.083019
133,15.88,16.860838
134,13.88,15.302413
135,13.8,12.163296
136,16.6,16.124254
137,5.68,5.3336334
138,15.43,12.666204
139,17.7,16.442244
140,24.88,24.137955
141,14.88,15.255905
142,7.88,11.332088
143,23.3,21.625153
144,18.8799,19.43287
145,34.58,30.20352
146,7.2,7.3007884
147,9.48,10.240385
148,38.6,85.64668
149,22.88,22.683523
150,2.3,2.697931
151,24.5,23.032341
152,21.5,20.14865
153,6.28,8.701893
154,20.0,20.098248
155,6.15,6.7959023
156,4.38,4.090013
157,10.59,11.685291
158,5.2,5.0271254
159,3.3,4.668498
160,22.0,23.075422
161,11.0,12.555309
162,18.8,15.035686
163,12.88,12.575494
164,7.0,6.0765743
165,12.98,12.885735
166,7.58,6.8798
167,4.2,4.205049
168,10.8,11.442
169,12.08,11.462557
170,16.78,16.918718
171,28.5,26.803324
172,3.98,3.5201256
173,3.5,3.4054224
174,2.68,4.3593183
175,9.1,8.691085
176,27.38,27.335512
177,41.8,37.21581
178,22.8,22.557428
179,2.48,1.885258
180,20.8,21.198832
181,103.0,120.244644
182,39.97,37.5728
183,7.5,6.042023
184,15.0,14.558901
185,8.0,6.7156925
186,6.5,6.4501557
187,5.48,4.99513
188,27.4,25.919836
189,14.98,15.456862
190,10.5,10.488668
191,38.99,39.160824
192,22.98,25.588158
193,18.7,17.766111
194,11.9,12.29571
195,22.5,19.272291
196,5.7,5.7191057
197,17.8,13.905598
198,18.8,18.920057
199,13.55,15.767471
200,26.8,25.993301
201,12.8,11.955351
202,5.2,4.710734
203,4.88,4.242817
204,10.6,9.059807
205,26.8,27.714285
206,25.68,26.354815
207,27.5,28.05218
208,15.98,17.283794
209,12.7,10.451855
210,18.8,18.892618
211,11.68,10.845456
212,17.38,15.894587
213,9.38,9.455251
214,7.8,8.961213
215,21.58,21.318882
216,7.3,9.461512
217,22.5,22.694517
218,11.8,12.028148
219,10.88,17.049446
220,6.58,6.359748
221,31.98,30.04918
222,68.66,65.49592
223,6.99,7.3586445
224,7.6,7.6067853
225,9.8,9.106176
226,1.68,1.0518237
227,18.8,21.409513
228,16.98,15.39253
229,11.5,10.396737
230,5.88,6.690529
231,6.0,6.1655974
