carid,price
1.0,4.24
2.0,7.38
5.0,1.0
6.0,4.38
7.0,5.9
10.0,1.49
12.0,0.3
13.0,5.95
14.0,1.18
18.0,4.98
20.0,5.9
22.0,6.5
23.0,4.15
24.0,4.8
25.0,10.68
26.0,3.0
31.0,0.1
32.0,6.75
33.0,6.1
34.0,10.65
38.0,3.44
40.0,6.0
41.0,9.5
45.0,3.3
50.0,23.4
51.0,3.5
55.0,21.5
56.0,3.9
57.0,1.64
64.0,6.62
66.0,13.5
67.0,1.98
68.0,2.2
72.0,5.2
74.0,10.6
75.0,11.7
76.0,6.84
78.0,18.6
79.0,3.2
85.0,4.9
88.0,10.9
89.0,5.95
90.0,3.14
94.0,5.5
102.0,6.0
104.0,17.4148
105.0,5.275
106.0,4.2
108.0,4.7
112.0,8.2
114.0,1.5
115.0,14.5
117.0,5.54
123.0,5.6
124.0,12.0
125.0,6.3
131.0,11.3
132.0,5.9
133.0,2.99
136.0,17.6
138.0,4.09
140.0,16.0
144.0,44.2
145.0,1.0
148.0,210.0
149.0,11.7
151.0,16.28
156.0,4.1
157.0,2.35
158.0,1.6
159.0,2.8
162.0,10.8
172.0,6.98
173.0,2.8
174.0,0.65
175.0,8.4
176.0,6.8
177.0,2.2
179.0,9.64
180.0,5.45
183.0,3.8
185.0,14.3
186.0,6.2
188.0,45.46
189.0,14.5
190.0,16.24
192.0,4.6
195.0,3.68
197.0,2.24
198.0,6.2
199.0,8.2
202.0,15.5
203.0,1.79
204.0,6.7
205.0,2.8
208.0,4.34
210.0,3.4
212.0,13.2
217.0,1.5
218.0,9.3
220.0,13.14
221.0,8.5
222.0,2.49
224.0,8.4
229.0,10.67
232.0,7.0
235.0,7.1
239.0,3.68
240.0,5.48
243.0,7.1
245.0,6.2
248.0,17.88
249.0,9.98
253.0,8.24
254.0,11.65
257.0,2.6
258.0,6.98
260.0,1.94
261.0,5.14
264.0,20.5
266.0,7.52
267.0,6.865
268.0,10.7
275.0,4.61
278.0,7.78
279.0,4.85
281.0,15.2
282.0,8.7
284.0,2.99
285.0,6.3
286.0,8.85
288.0,14.8
289.0,3.14
294.0,6.28
295.0,6.0
297.0,0.7
302.0,4.92
303.0,9.0
305.0,5.9
307.0,7.15
308.0,1.3
312.0,10.08
319.0,26.5
320.0,5.7
321.0,4.9999
323.0,0.42
324.0,3.65
326.0,4.1
327.0,9.15
330.0,17.88
331.0,4.9
332.0,18.2
333.0,36.8
334.0,8.95
335.0,7.55
339.0,4.9999
342.0,23.18
344.0,4.63
350.0,11.0
351.0,5.39
352.0,28.0
353.0,6.01
358.0,4.0
360.0,3.85
362.0,15.8
364.0,8.25
368.0,17.5
369.0,26.6
371.0,2.45
373.0,6.8
379.0,5.3
381.0,2.39
382.0,5.54
384.0,2.08
386.0,2.75
387.0,5.8
390.0,4.15
392.0,2.4
395.0,6.19
396.0,2.0
397.0,16.25
401.0,3.03
402.0,2.0
404.0,7.8
406.0,7.3
407.0,1.3
410.0,5.2
413.0,2.98
415.0,18.3
416.0,2.1
419.0,10.85
421.0,8.2
422.0,10.5
426.0,2.07
427.0,10.65
429.0,1.0
430.0,6.78
433.0,5.88
434.0,7.8
435.0,15.0
437.0,3.68
438.0,9.72
443.0,2.4
447.0,4.5
448.0,14.04
450.0,12.0
452.0,17.6
456.0,8.7
457.0,12.0
458.0,8.64
460.0,8.3
462.0,11.6
463.0,10.08
466.0,4.2999
468.0,5.4
469.0,3.7
470.0,9.2999
471.0,6.28
473.0,9.64
474.0,1.6
477.0,27.5
481.0,0.15
488.0,5.65
490.0,7.0
496.0,13.6
498.0,22.1
500.0,28.5
502.0,3.44
503.0,5.68
506.0,34.5
507.0,32.58
511.0,5.0
514.0,10.0
516.0,6.2
518.0,3.4
519.0,6.2
523.0,6.1
524.0,21.5
526.0,3.1
527.0,2.05
530.0,8.5
531.0,5.38
532.0,3.07
537.0,8.84
540.0,3.4
548.0,8.2
550.0,3.1
553.0,4.6
555.0,3.12
556.0,10.5
557.0,7.3
560.0,2.2
562.0,10.0
564.0,3.88
566.0,3.77
569.0,10.38
571.0,9.8
573.0,5.6
574.0,6.9
575.0,15.58
577.0,6.5
578.0,8.4
579.0,5.08
581.0,7.7
586.0,3.95
587.0,12.0
588.0,49.3
589.0,7.58
592.0,26.0
593.0,24.35
595.0,7.18
597.0,10.0
598.0,5.463
600.0,10.7
602.0,8.65
607.0,5.22
609.0,7.15
610.0,1.2
